"stateProvince","specRichness"
"Alabama",9904
"Alaska",4397
"Arizona",9021
"Arkansas",6911
"California",19594
"Colorado",7400
"Connecticut",7021
"Delaware",4285
"Florida",12230
"Georgia",9001
"Hawaii",4090
"Idaho",4343
"Illinois",8577
"Indiana",7151
"Iowa",4445
"Kansas",4524
"Kentucky",6609
"Louisiana",6585
"Maine",6212
"Maryland",9610
"Massachusetts",10078
"Michigan",8681
"Minnesota",7458
"Mississippi",6384
"Missouri",6954
"Montana",4064
"Nebraska",4469
"Nevada",4298
"New Hampshire",5394
"New Jersey",8710
"New Mexico",6825
"New York",12570
"North Carolina",11762
"North Dakota",1809
"Ohio",9902
"Oklahoma",6713
"Oregon",8649
"Pennsylvania",10490
"Rhode Island",3990
"South Carolina",7471
"South Dakota",2856
"Tennessee",8511
"Texas",16508
"Utah",5045
"Vermont",7120
"Virginia",10332
"Washington",8792
"West Virginia",6011
"Wisconsin",7882
"Wyoming",2969
