"year","stateProvince","specRichness"
2010,"Alabama",529
2010,"Alaska",391
2010,"Arizona",767
2010,"Arkansas",174
2010,"California",2628
2010,"Colorado",485
2010,"Connecticut",135
2010,"Delaware",111
2010,"Florida",1125
2010,"Georgia",371
2010,"Hawaii",283
2010,"Idaho",149
2010,"Illinois",418
2010,"Indiana",163
2010,"Iowa",266
2010,"Kansas",96
2010,"Kentucky",164
2010,"Louisiana",411
2010,"Maine",364
2010,"Maryland",523
2010,"Massachusetts",500
2010,"Michigan",524
2010,"Minnesota",191
2010,"Mississippi",67
2010,"Missouri",317
2010,"Montana",130
2010,"Nebraska",91
2010,"Nevada",392
2010,"New Hampshire",143
2010,"New Jersey",644
2010,"New Mexico",667
2010,"New York",1047
2010,"North Carolina",689
2010,"North Dakota",80
2010,"Ohio",663
2010,"Oklahoma",436
2010,"Oregon",561
2010,"Pennsylvania",823
2010,"Rhode Island",67
2010,"South Carolina",253
2010,"South Dakota",114
2010,"Tennessee",284
2010,"Texas",2196
2010,"Utah",443
2010,"Vermont",452
2010,"Virginia",619
2010,"Washington",649
2010,"West Virginia",96
2010,"Wisconsin",361
2010,"Wyoming",181
2011,"Alabama",531
2011,"Alaska",344
2011,"Arizona",740
2011,"Arkansas",457
2011,"California",2990
2011,"Colorado",732
2011,"Connecticut",273
2011,"Delaware",90
2011,"Florida",1366
2011,"Georgia",495
2011,"Hawaii",410
2011,"Idaho",181
2011,"Illinois",505
2011,"Indiana",173
2011,"Iowa",358
2011,"Kansas",131
2011,"Kentucky",159
2011,"Louisiana",361
2011,"Maine",390
2011,"Maryland",618
2011,"Massachusetts",580
2011,"Michigan",678
2011,"Minnesota",367
2011,"Mississippi",110
2011,"Missouri",363
2011,"Montana",284
2011,"Nebraska",115
2011,"Nevada",421
2011,"New Hampshire",155
2011,"New Jersey",708
2011,"New Mexico",604
2011,"New York",1100
2011,"North Carolina",799
2011,"North Dakota",55
2011,"Ohio",833
2011,"Oklahoma",444
2011,"Oregon",567
2011,"Pennsylvania",1042
2011,"Rhode Island",117
2011,"South Carolina",304
2011,"South Dakota",91
2011,"Tennessee",349
2011,"Texas",1809
2011,"Utah",532
2011,"Vermont",586
2011,"Virginia",758
2011,"Washington",881
2011,"West Virginia",116
2011,"Wisconsin",626
2011,"Wyoming",266
2012,"Alabama",507
2012,"Alaska",617
2012,"Arizona",969
2012,"Arkansas",685
2012,"California",3448
2012,"Colorado",755
2012,"Connecticut",333
2012,"Delaware",148
2012,"Florida",1467
2012,"Georgia",476
2012,"Hawaii",519
2012,"Idaho",221
2012,"Illinois",828
2012,"Indiana",281
2012,"Iowa",254
2012,"Kansas",123
2012,"Kentucky",270
2012,"Louisiana",431
2012,"Maine",599
2012,"Maryland",904
2012,"Massachusetts",727
2012,"Michigan",608
2012,"Minnesota",584
2012,"Mississippi",187
2012,"Missouri",330
2012,"Montana",306
2012,"Nebraska",64
2012,"Nevada",204
2012,"New Hampshire",304
