"species","stateProvince","decimalLatitude","decimalLongitude"
"Anolis carolinensis","Alabama",30.6987,-88.043518
"Anolis carolinensis","Alabama",34.401759,-86.449154
"Anolis carolinensis","Alabama",33.167342,-86.809564
"Anolis carolinensis","Alabama",30.257018,-88.107507
"Anolis carolinensis","Alabama",33.769271,-86.530045
"Anolis carolinensis","Alabama",32.521242,-85.475804
"Anolis carolinensis","Alabama",30.25697,-88.126118
"Anolis carolinensis","Alabama",31.025175,-87.685185
"Anolis carolinensis","Alabama",30.462132,-87.853863
"Anolis carolinensis","Alabama",30.228745,-87.831445
"Anolis carolinensis","Alabama",32.31988,-87.108402
"Anolis carolinensis","Alabama",30.573596,-88.255261
"Anolis carolinensis","Alabama",30.269681,-87.58676
"Anolis carolinensis","Alabama",33.188372,-86.998208
"Anolis carolinensis","Alabama",30.699653,-88.180695
"Anolis carolinensis","Alabama",30.530605,-87.726197
"Anolis carolinensis","Alabama",32.574144,-85.945057
"Anolis carolinensis","Alabama",32.926711,-87.387501
"Anolis carolinensis","Alabama",34.614689,-86.36447
"Anolis carolinensis","Alabama",34.363221,-86.214688
"Anolis carolinensis","Alabama",30.250578,-88.128569
"Anolis carolinensis","Alabama",31.139996,-88.408483
"Anolis carolinensis","Alabama",33.543819,-86.454376
"Anolis carolinensis","Alabama",33.427222,-86.731189
"Anolis carolinensis","Alabama",33.340111,-86.630262
"Anolis carolinensis","Alabama",33.688991,-86.683323
"Anolis carolinensis","Alabama",33.562941,-86.689526
"Anolis carolinensis","Alabama",32.553772,-85.468405
"Anolis carolinensis","Alabama",32.779766,-85.222467
"Anolis carolinensis","Alabama",31.4385,-86.93491
"Alces alces","Alaska",61.163046,-150.019407
"Alces alces","Alaska",66.121353,-150.167303
"Alces alces","Alaska",61.195438,-149.964462
"Alces alces","Alaska",61.062818,-149.806095
"Alces alces","Alaska",63.600523,-149.544774
"Alces alces","Alaska",61.146313,-149.733734
"Alces alces","Alaska",59.685588,-151.480713
"Alces alces","Alaska",61.07677,-149.829536
"Alces alces","Alaska",61.110606,-149.846783
"Alces alces","Alaska",67.111847,-163.395517
"Alces alces","Alaska",63.710787,-149.115967
"Alces alces","Alaska",61.20878,-149.912393
"Alces alces","Alaska",63.711582,-149.172913
"Alces alces","Alaska",60.187604,-149.634265
"Alces alces","Alaska",61.403096,-148.64233
"Alces alces","Alaska",61.631897,-151.296587
"Alces alces","Alaska",61.17721,-149.985762
"Alces alces","Alaska",61.146313,-149.733734
"Alces alces","Alaska",61.204137,-149.902588
"Alces alces","Alaska",59.400023,-135.995195
"Alces alces","Alaska",60.122003,-149.441863
"Alces alces","Alaska",59.684803,-151.472533
"Alces alces","Alaska",61.593931,-148.955653
"Alces alces","Alaska",61.157284,-150.046753
"Alces alces","Alaska",61.195509,-149.973402
"Alces alces","Alaska",63.714677,-149.077278
"Alces alces","Alaska",58.839255,-136.659517
"Alces alces","Alaska",63.523863,-149.915786
"Alces alces","Alaska",61.410456,-148.505133
"Alces alces","Alaska",64.586926,-165.660412
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",48.99994,-113.462076
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Agelaius phoeniceus","Alberta",49.000026,-113.462484
"Carnegiea gigantea","Arizona",32.278961,-111.083572
"Carnegiea gigantea","Arizona",32.161591,-110.729004
"Carnegiea gigantea","Arizona",32.273092,-110.729513
"Carnegiea gigantea","Arizona",32.309605,-110.72113
"Carnegiea gigantea","Arizona",33.563352,-111.626567
"Carnegiea gigantea","Arizona",32.283713,-111.182587
"Carnegiea gigantea","Arizona",32.213785,-110.998909
"Carnegiea gigantea","Arizona",33.882225,-111.956497
"Carnegiea gigantea","Arizona",33.367016,-112.37029
"Carnegiea gigantea","Arizona",32.283172,-111.126044
"Carnegiea gigantea","Arizona",33.933653,-111.71925
"Carnegiea gigantea","Arizona",33.462554,-111.627149
"Carnegiea gigantea","Arizona",32.29432,-111.090386
"Carnegiea gigantea","Arizona",32.289617,-111.11
"Carnegiea gigantea","Arizona",33.673927,-112.169006
"Carnegiea gigantea","Arizona",32.186593,-111.013813
"Carnegiea gigantea","Arizona",33.914375,-112.681053
"Carnegiea gigantea","Arizona",32.226238,-110.737957
"Carnegiea gigantea","Arizona",34.045733,-112.160194
"Carnegiea gigantea","Arizona",31.961108,-110.825072
"Carnegiea gigantea","Arizona",32.279267,-111.021446
"Carnegiea gigantea","Arizona",33.989188,-112.173462
"Carnegiea gigantea","Arizona",32.392353,-111.055022
"Carnegiea gigantea","Arizona",32.233722,-110.68197
"Carnegiea gigantea","Arizona",32.311329,-110.728683
"Carnegiea gigantea","Arizona",33.925042,-112.314362
"Carnegiea gigantea","Arizona",33.723848,-111.844567
"Carnegiea gigantea","Arizona",33.378175,-112.37638
"Carnegiea gigantea","Arizona",33.161458,-111.644988
"Carnegiea gigantea","Arizona",32.294205,-111.04898
"Danaus plexippus","Arkansas",36.078092,-94.116469
"Danaus plexippus","Arkansas",35.518201,-91.984901
"Danaus plexippus","Arkansas",36.395162,-94.173298
"Danaus plexippus","Arkansas",34.792958,-92.638026
