"state","hometown_hero","underdog","urlH","urlU"
"Alabama","Anolis carolinensis","Abacidus sculptus","https://www.inaturalist.org/taxa/36514",NA
"Alaska","Alces alces","Abagrotis placida","https://www.inaturalist.org/taxa/522193","https://www.inaturalist.org/taxa/212181"
"Alberta","Agelaius phoeniceus","Actaea rubra","https://www.inaturalist.org/taxa/9744","https://www.inaturalist.org/taxa/49870"
"Arizona","Carnegiea gigantea","Abagrotis bimarginalis","https://www.inaturalist.org/taxa/54449","https://www.inaturalist.org/taxa/371192"
"Arkansas","Danaus plexippus","Abacena mundula","https://www.inaturalist.org/taxa/48662","https://www.inaturalist.org/taxa/1234825"
"Baja California","Phragmites australis","Accipiter cooperii","https://www.inaturalist.org/taxa/64237","https://www.inaturalist.org/taxa/5112"
"British Columbia","Calypte anna","Acer macrophyllum","https://www.inaturalist.org/taxa/6317","https://www.inaturalist.org/taxa/48227"
"California","Sceloporus occidentalis","Abagrotis discoidalis","https://www.inaturalist.org/taxa/36204","https://www.inaturalist.org/taxa/212172"
"Chihuahua","Solanum elaeagnifolium","Acmaeodera gibbula","https://www.inaturalist.org/taxa/79137","https://www.inaturalist.org/taxa/322794"
"Coahuila","Echinocereus coccineus","Acmaeodera princeps","https://www.inaturalist.org/taxa/162177","https://www.inaturalist.org/taxa/708084"
"Colorado","Odocoileus hemionus","Abagrotis discoidalis","https://www.inaturalist.org/taxa/42220","https://www.inaturalist.org/taxa/212172"
"Connecticut","Bombus impatiens","Abelmoschus esculentus","https://www.inaturalist.org/taxa/118970","https://www.inaturalist.org/taxa/157765"
"Delaware","Harmonia axyridis","Abacidus permundus","https://www.inaturalist.org/taxa/48484",NA
"District of Columbia","Sciurus carolinensis","Acanthocinus obsoletus","https://www.inaturalist.org/taxa/46017","https://www.inaturalist.org/taxa/212208"
"Florida","Anolis sagrei","Ablennes hians","https://www.inaturalist.org/taxa/116461","https://www.inaturalist.org/taxa/135196"
"Georgia","Anolis carolinensis","Abablemma brimleyana","https://www.inaturalist.org/taxa/36514","https://www.inaturalist.org/taxa/417174"
"Hawaii","Phelsuma laticauda","Abutilon indicum","https://www.inaturalist.org/taxa/34050","https://www.inaturalist.org/taxa/157844"
"Idaho","Buteo jamaicensis","Abagrotis discoidalis","https://www.inaturalist.org/taxa/5212","https://www.inaturalist.org/taxa/212172"
"Illinois","Danaus plexippus","Abagrotis cupida","https://www.inaturalist.org/taxa/48662","https://www.inaturalist.org/taxa/212170"
"Indiana","Lonicera maackii","Abagrotis alternata","https://www.inaturalist.org/taxa/82342","https://www.inaturalist.org/taxa/212165"
"Iowa","Odocoileus virginianus","Acalitus longisetosus","https://www.inaturalist.org/taxa/42223","https://www.inaturalist.org/taxa/902402"
"Kansas","Terrapene ornata","Abdra brachycarpa","https://www.inaturalist.org/taxa/39807","https://www.inaturalist.org/taxa/858879"
"Kentucky","Terrapene carolina","Abrostola ovalis","https://www.inaturalist.org/taxa/39814","https://www.inaturalist.org/taxa/212189"
"Louisiana","Anolis carolinensis","Abutilon theophrasti","https://www.inaturalist.org/taxa/36514","https://www.inaturalist.org/taxa/60214"
"Maine","Cornus canadensis","Abelmoschus esculentus","https://www.inaturalist.org/taxa/47192","https://www.inaturalist.org/taxa/157765"
"Manitoba","Lithobates pipiens","Achillea alpina","https://www.inaturalist.org/taxa/66003","https://www.inaturalist.org/taxa/516573"
"Maryland","Odocoileus virginianus","Aaroniella badonneli","https://www.inaturalist.org/taxa/42223","https://www.inaturalist.org/taxa/473200"
"Massachusetts","Bombus impatiens","Abeliophyllum distichum","https://www.inaturalist.org/taxa/118970","https://www.inaturalist.org/taxa/450787"
"Michigan","Odocoileus virginianus","Abagrotis magnicupida","https://www.inaturalist.org/taxa/42223","https://www.inaturalist.org/taxa/212176"
"Minnesota","Bombus impatiens","Abagrotis alternata","https://www.inaturalist.org/taxa/118970","https://www.inaturalist.org/taxa/212165"
"Mississippi","Cardinalis cardinalis","Abdra brachycarpa","https://www.inaturalist.org/taxa/9083","https://www.inaturalist.org/taxa/858879"
"Missouri","Apis mellifera","Abagrotis cupida","https://www.inaturalist.org/taxa/47219","https://www.inaturalist.org/taxa/212170"
"Montana","Odocoileus virginianus","Abagrotis apposita","https://www.inaturalist.org/taxa/42223","https://www.inaturalist.org/taxa/212167"
"Nebraska","Turdus migratorius","Abaeis mexicana","https://www.inaturalist.org/taxa/12727","https://www.inaturalist.org/taxa/1241365"
"Nevada","Larrea tridentata","Abagrotis mirabilis","https://www.inaturalist.org/taxa/68205","https://www.inaturalist.org/taxa/212177"
"New Brunswick","Bombus impatiens","Abutilon theophrasti","https://www.inaturalist.org/taxa/118970","https://www.inaturalist.org/taxa/60214"
"New Hampshire","Pinus strobus","Abeliophyllum distichum","https://www.inaturalist.org/taxa/52391","https://www.inaturalist.org/taxa/450787"
"New Jersey","Lycorma delicatula","Acalitus longisetosus","https://www.inaturalist.org/taxa/324726","https://www.inaturalist.org/taxa/902402"
"New Mexico","Larrea tridentata","Abagrotis mirabilis","https://www.inaturalist.org/taxa/68205","https://www.inaturalist.org/taxa/212177"
"New York","Phragmites australis","Abagrotis nefascia","https://www.inaturalist.org/taxa/64237","https://www.inaturalist.org/taxa/212179"
"North Carolina","Sciurus carolinensis","Ablennes hians","https://www.inaturalist.org/taxa/46017","https://www.inaturalist.org/taxa/135196"
"North Dakota","Bison bison","Achatodes zeae","https://www.inaturalist.org/taxa/42408","https://www.inaturalist.org/taxa/212316"
"Ohio","Erythemis simplicicollis","Abagrotis anchocelioides","https://www.inaturalist.org/taxa/61495","https://www.inaturalist.org/taxa/212166"
