"state1","state2","season","jaccard"
"Alaska","Alabama","spring",0.0421190701741602
"Arizona","Alabama","spring",0.0950066539373951
"Arkansas","Alabama","spring",0.438408896492729
"California","Alabama","spring",0.0865225238498656
"Colorado","Alabama","spring",0.119347952648942
"Connecticut","Alabama","spring",0.303427031189834
"Delaware","Alabama","spring",0.305696144290052
"Florida","Alabama","spring",0.362259970457903
"Georgia","Alabama","spring",0.535244437225922
"Hawaii","Alabama","spring",0.0536063845806354
"Idaho","Alabama","spring",0.0774408228087423
"Illinois","Alabama","spring",0.358697250404352
"Indiana","Alabama","spring",0.328374483994081
"Iowa","Alabama","spring",0.233261710356682
"Kansas","Alabama","spring",0.262402659900254
"Kentucky","Alabama","spring",0.417059984553334
"Louisiana","Alabama","spring",0.450219876868953
"Maine","Alabama","spring",0.210091605346148
"Maryland","Alabama","spring",0.410888583616514
"Massachusetts","Alabama","spring",0.29576551455807
"Michigan","Alabama","spring",0.275041163556531
"Minnesota","Alabama","spring",0.227169918009613
"Mississippi","Alabama","spring",0.499125632765762
"Missouri","Alabama","spring",0.394260193532379
"Montana","Alabama","spring",0.0745441957073621
"Nebraska","Alabama","spring",0.207105064247921
"Nevada","Alabama","spring",0.0611177525403467
"New Hampshire","Alabama","spring",0.221299696631008
"New Jersey","Alabama","spring",0.364062729004837
"New Mexico","Alabama","spring",0.0982799369747899
"New York","Alabama","spring",0.30405013345712
"North Carolina","Alabama","spring",0.483972602739726
"North Dakota","Alabama","spring",0.0818324558972938
"Ohio","Alabama","spring",0.362360709863805
"Oklahoma","Alabama","spring",0.344743869871328
"Oregon","Alabama","spring",0.0948306384987608
"Pennsylvania","Alabama","spring",0.340652116749934
"Rhode Island","Alabama","spring",0.234692970763352
"South Carolina","Alabama","spring",0.50120960774149
"South Dakota","Alabama","spring",0.11939643828406
"Tennessee","Alabama","spring",0.481973281828424
"Texas","Alabama","spring",0.316321953650635
"Utah","Alabama","spring",0.0805204192265992
"Vermont","Alabama","spring",0.238559476173154
"Virginia","Alabama","spring",0.433245980593526
"Washington","Alabama","spring",0.0960895819897989
"West Virginia","Alabama","spring",0.323162620552045
"Wisconsin","Alabama","spring",0.270337833011928
"Wyoming","Alabama","spring",0.0541270881100557
"Alabama","Alaska","spring",0.0421190701741602
"Arizona","Alaska","spring",0.0585358157147365
"Arkansas","Alaska","spring",0.0485905044510386
"California","Alaska","spring",0.102122381477398
"Colorado","Alaska","spring",0.12717370533155
"Connecticut","Alaska","spring",0.0927361469997129
"Delaware","Alaska","spring",0.0660609037328094
"Florida","Alaska","spring",0.0327329192546584
"Georgia","Alaska","spring",0.0498354489891866
"Hawaii","Alaska","spring",0.0238870792616721
"Idaho","Alaska","spring",0.163316917343272
"Illinois","Alaska","spring",0.0780224345658496
"Indiana","Alaska","spring",0.0776409107876073
"Iowa","Alaska","spring",0.079345703125
"Kansas","Alaska","spring",0.056364712847839
"Kentucky","Alaska","spring",0.0634843946275002
"Louisiana","Alaska","spring",0.0382906306135955
"Maine","Alaska","spring",0.147291013301611
"Maryland","Alaska","spring",0.0721830985915493
"Massachusetts","Alaska","spring",0.10092789777913
"Michigan","Alaska","spring",0.128776109097186
"Minnesota","Alaska","spring",0.13531890442444
"Mississippi","Alaska","spring",0.0395333140487899
"Missouri","Alaska","spring",0.0595538131242416
"Montana","Alaska","spring",0.171072664359862
"Nebraska","Alaska","spring",0.0680640886640164
"Nevada","Alaska","spring",0.0762470602797376
"New Hampshire","Alaska","spring",0.134005096131573
"New Jersey","Alaska","spring",0.0824180361714427
"New Mexico","Alaska","spring",0.0741839762611276
"New York","Alaska","spring",0.100823979757348
"North Carolina","Alaska","spring",0.0650540469285526
"North Dakota","Alaska","spring",0.0866748380318683
"Ohio","Alaska","spring",0.0844077051418171
"Oklahoma","Alaska","spring",0.04358444486192
"Oregon","Alaska","spring",0.198530087276068
"Pennsylvania","Alaska","spring",0.0930249632892805
"Rhode Island","Alaska","spring",0.0917729757875553
"South Carolina","Alaska","spring",0.0451783355350066
"South Dakota","Alaska","spring",0.100273058252427
"Tennessee","Alaska","spring",0.0646651270207852
"Texas","Alaska","spring",0.0335706516365075
"Utah","Alaska","spring",0.109779031499765
"Vermont","Alaska","spring",0.124487404803749
"Virginia","Alaska","spring",0.0678605089538172
"Washington","Alaska","spring",0.234578301975101
"West Virginia","Alaska","spring",0.0875653082549634
"Wisconsin","Alaska","spring",0.121677171827898
"Wyoming","Alaska","spring",0.132533825338253
"Alabama","Arizona","spring",0.0950066539373951
"Alaska","Arizona","spring",0.0585358157147365
"Arkansas","Arizona","spring",0.106235245104847
"California","Arizona","spring",0.182731255683227
"Colorado","Arizona","spring",0.237639433222792
"Connecticut","Arizona","spring",0.089143865842895
"Delaware","Arizona","spring",0.0904769709883626
"Florida","Arizona","spring",0.0871745024811992
"Georgia","Arizona","spring",0.0954957145462282
"Hawaii","Arizona","spring",0.0436201544217146
"Idaho","Arizona","spring",0.154457498272287
"Illinois","Arizona","spring",0.110634269485642
"Indiana","Arizona","spring",0.103815439219166
"Iowa","Arizona","spring",0.103137544032113
