"state1","state2","jaccard"
"Alaska","Alabama",0.0421190701741602
"Arizona","Alabama",0.0950066539373951
"Arkansas","Alabama",0.438408896492729
"California","Alabama",0.0865225238498656
"Colorado","Alabama",0.119347952648942
"Connecticut","Alabama",0.303427031189834
"Delaware","Alabama",0.305696144290052
"Florida","Alabama",0.362259970457903
"Georgia","Alabama",0.535244437225922
"Hawaii","Alabama",0.0536063845806354
"Idaho","Alabama",0.0774408228087423
"Illinois","Alabama",0.358697250404352
"Indiana","Alabama",0.328374483994081
"Iowa","Alabama",0.233261710356682
"Kansas","Alabama",0.262402659900254
"Kentucky","Alabama",0.417059984553334
"Louisiana","Alabama",0.450219876868953
"Maine","Alabama",0.210091605346148
"Maryland","Alabama",0.410888583616514
"Massachusetts","Alabama",0.29576551455807
"Michigan","Alabama",0.275041163556531
"Minnesota","Alabama",0.227169918009613
"Mississippi","Alabama",0.499125632765762
"Missouri","Alabama",0.394260193532379
"Montana","Alabama",0.0745441957073621
"Nebraska","Alabama",0.207105064247921
"Nevada","Alabama",0.0611177525403467
"New Hampshire","Alabama",0.221299696631008
"New Jersey","Alabama",0.364062729004837
"New Mexico","Alabama",0.0982799369747899
"New York","Alabama",0.30405013345712
"North Carolina","Alabama",0.483972602739726
"North Dakota","Alabama",0.0818324558972938
"Ohio","Alabama",0.362360709863805
"Oklahoma","Alabama",0.344743869871328
"Oregon","Alabama",0.0948306384987608
"Pennsylvania","Alabama",0.340652116749934
"Rhode Island","Alabama",0.234692970763352
"South Carolina","Alabama",0.50120960774149
"South Dakota","Alabama",0.11939643828406
"Tennessee","Alabama",0.481973281828424
"Texas","Alabama",0.316321953650635
"Utah","Alabama",0.0805204192265992
"Vermont","Alabama",0.238559476173154
"Virginia","Alabama",0.433245980593526
"Washington","Alabama",0.0960895819897989
"West Virginia","Alabama",0.323162620552045
"Wisconsin","Alabama",0.270337833011928
"Wyoming","Alabama",0.0541270881100557
"Alabama","Alaska",0.0421190701741602
"Arizona","Alaska",0.0585358157147365
"Arkansas","Alaska",0.0485905044510386
"California","Alaska",0.102122381477398
"Colorado","Alaska",0.12717370533155
"Connecticut","Alaska",0.0927361469997129
"Delaware","Alaska",0.0660609037328094
"Florida","Alaska",0.0327329192546584
"Georgia","Alaska",0.0498354489891866
"Hawaii","Alaska",0.0238870792616721
"Idaho","Alaska",0.163316917343272
"Illinois","Alaska",0.0780224345658496
"Indiana","Alaska",0.0776409107876073
"Iowa","Alaska",0.079345703125
"Kansas","Alaska",0.056364712847839
"Kentucky","Alaska",0.0634843946275002
"Louisiana","Alaska",0.0382906306135955
"Maine","Alaska",0.147291013301611
"Maryland","Alaska",0.0721830985915493
"Massachusetts","Alaska",0.10092789777913
"Michigan","Alaska",0.128776109097186
"Minnesota","Alaska",0.13531890442444
"Mississippi","Alaska",0.0395333140487899
"Missouri","Alaska",0.0595538131242416
"Montana","Alaska",0.171072664359862
"Nebraska","Alaska",0.0680640886640164
"Nevada","Alaska",0.0762470602797376
"New Hampshire","Alaska",0.134005096131573
"New Jersey","Alaska",0.0824180361714427
"New Mexico","Alaska",0.0741839762611276
"New York","Alaska",0.100823979757348
"North Carolina","Alaska",0.0650540469285526
"North Dakota","Alaska",0.0866748380318683
"Ohio","Alaska",0.0844077051418171
"Oklahoma","Alaska",0.04358444486192
"Oregon","Alaska",0.198530087276068
"Pennsylvania","Alaska",0.0930249632892805
"Rhode Island","Alaska",0.0917729757875553
"South Carolina","Alaska",0.0451783355350066
"South Dakota","Alaska",0.100273058252427
"Tennessee","Alaska",0.0646651270207852
"Texas","Alaska",0.0335706516365075
"Utah","Alaska",0.109779031499765
"Vermont","Alaska",0.124487404803749
"Virginia","Alaska",0.0678605089538172
"Washington","Alaska",0.234578301975101
"West Virginia","Alaska",0.0875653082549634
"Wisconsin","Alaska",0.121677171827898
"Wyoming","Alaska",0.132533825338253
"Alabama","Arizona",0.0950066539373951
"Alaska","Arizona",0.0585358157147365
"Arkansas","Arizona",0.106235245104847
"California","Arizona",0.182731255683227
"Colorado","Arizona",0.237639433222792
"Connecticut","Arizona",0.089143865842895
"Delaware","Arizona",0.0904769709883626
"Florida","Arizona",0.0871745024811992
"Georgia","Arizona",0.0954957145462282
"Hawaii","Arizona",0.0436201544217146
"Idaho","Arizona",0.154457498272287
"Illinois","Arizona",0.110634269485642
"Indiana","Arizona",0.103815439219166
"Iowa","Arizona",0.103137544032113
"Kansas","Arizona",0.129503002001334
"Kentucky","Arizona",0.0947678083631015
"Louisiana","Arizona",0.104380440167009
"Maine","Arizona",0.0866742759309459
"Maryland","Arizona",0.0969736222326896
"Massachusetts","Arizona",0.090250028542071
"Michigan","Arizona",0.102310231023102
"Minnesota","Arizona",0.106864588930682
"Mississippi","Arizona",0.0953498293515358
"Missouri","Arizona",0.111845768374165
"Montana","Arizona",0.132802354774478
"Nebraska","Arizona",0.137820512820513
"Nevada","Arizona",0.232099907493062
"New Hampshire","Arizona",0.0836716283265674
"New Jersey","Arizona",0.098983513077972
"New Mexico","Arizona",0.390854033178267
"New York","Arizona",0.0951004260499087
"North Carolina","Arizona",0.0935543278084714
"North Dakota","Arizona",0.0912938331318017
"Ohio","Arizona",0.0993435194329867
"Oklahoma","Arizona",0.148802570093458
"Oregon","Arizona",0.14088326446281
"Pennsylvania","Arizona",0.0976652601969058
"Rhode Island","Arizona",0.0819058706136704
"South Carolina","Arizona",0.0930540827147402
"South Dakota","Arizona",0.121000471920717
"Tennessee","Arizona",0.0990471414242728
"Texas","Arizona",0.198994927672365
"Utah","Arizona",0.244778761061947
"Vermont","Arizona",0.0864970382337103
"Virginia","Arizona",0.0981671679055779
"Washington","Arizona",0.13134328358209
"West Virginia","Arizona",0.085578103560338
"Wisconsin","Arizona",0.103977532492979
"Wyoming","Arizona",0.129959476015456
"Alabama","Arkansas",0.438408896492729
"Alaska","Arkansas",0.0485905044510386
"Arizona","Arkansas",0.106235245104847
"California","Arkansas",0.0811306901615272
"Colorado","Arkansas",0.148739765612458
"Connecticut","Arkansas",0.307187089510227
"Delaware","Arkansas",0.347454567336623
"Florida","Arkansas",0.251045751633987
"Georgia","Arkansas",0.407269832846909
"Hawaii","Arkansas",0.0467174119885823
"Idaho","Arkansas",0.102144745862305
"Illinois","Arkansas",0.431555596635549
"Indiana","Arkansas",0.385145784081954
"Iowa","Arkansas",0.316179879462216
"Kansas","Arkansas",0.382708585247884
"Kentucky","Arkansas",0.469724970105446
"Louisiana","Arkansas",0.429358186824825
"Maine","Arkansas",0.220517113095238
"Maryland","Arkansas",0.384596044250754
"Massachusetts","Arkansas",0.27669647553919
"Michigan","Arkansas",0.30237220180421
"Minnesota","Arkansas",0.26912206323971
"Mississippi","Arkansas",0.449994546842622
"Missouri","Arkansas",0.521619841966637
"Montana","Arkansas",0.101244230383303
"Nebraska","Arkansas",0.284424379232506
"Nevada","Arkansas",0.0800732318365774
"New Hampshire","Arkansas",0.242301867743564
"New Jersey","Arkansas",0.353639514731369
"New Mexico","Arkansas",0.127102650365143
"New York","Arkansas",0.284094654274603
"North Carolina","Arkansas",0.374227259346482
"North Dakota","Arkansas",0.123856167031834
"Ohio","Arkansas",0.370476035213564
"Oklahoma","Arkansas",0.463372717508056
"Oregon","Arkansas",0.106134925712661
"Pennsylvania","Arkansas",0.3317771314863
"Rhode Island","Arkansas",0.267558139534884
"South Carolina","Arkansas",0.404629358335775
"South Dakota","Arkansas",0.176605228285749
"Tennessee","Arkansas",0.472829720179544
"Texas","Arkansas",0.292154049878614
"Utah","Arkansas",0.105910646563685
"Vermont","Arkansas",0.244765791341377
"Virginia","Arkansas",0.39281098546042
"Washington","Arkansas",0.105767199492993
"West Virginia","Arkansas",0.351673640167364
"Wisconsin","Arkansas",0.299455375966268
"Wyoming","Arkansas",0.0802536628034113
"Alabama","California",0.0865225238498656
"Alaska","California",0.102122381477398
"Arizona","California",0.182731255683227
"Arkansas","California",0.0811306901615272
"Colorado","California",0.166501015513591
"Connecticut","California",0.0892608660063845
"Delaware","California",0.0705671374131361
"Florida","California",0.0822281167108753
"Georgia","California",0.0880070009892702
"Hawaii","California",0.0419709634843819
"Idaho","California",0.157103494948518
"Illinois","California",0.104182181632893
"Indiana","California",0.096735832034774
"Iowa","California",0.0755223479933784
"Kansas","California",0.0787672764682202
"Kentucky","California",0.080046164626355
"Louisiana","California",0.077768629065459
"Maine","California",0.0952845804507449
"Maryland","California",0.101746708416645
"Massachusetts","California",0.107164179104478
"Michigan","California",0.114681069147678
"Minnesota","California",0.106828689497156
"Mississippi","California",0.0723189961198712
"Missouri","California",0.0870081480571592
"Montana","California",0.123575227963526
"Nebraska","California",0.0858754512635379
"Nevada","California",0.18014324524574
"New Hampshire","California",0.0828097239675868
"New Jersey","California",0.106749041995777
"New Mexico","California",0.144323645341534
"New York","California",0.127453729669097
"North Carolina","California",0.104240033807579
"North Dakota","California",0.0519512434876634
"Ohio","California",0.109247489752172
"Oklahoma","California",0.0906716417910448
"Oregon","California",0.301880704342214
"Pennsylvania","California",0.115420266211857
"Rhode Island","California",0.0709290709290709
"South Carolina","California",0.0801803959131545
"South Dakota","California",0.0709855929777693
"Tennessee","California",0.091286790401491
"Texas","California",0.133536374768439
"Utah","California",0.161669024045262
"Vermont","California",0.0921504497138185
"Virginia","California",0.105994530268313
"Washington","California",0.265762953714439
"West Virginia","California",0.0811096098631988
"Wisconsin","California",0.105140374869278
"Wyoming","California",0.090263348634936
"Alabama","Colorado",0.119347952648942
"Alaska","Colorado",0.12717370533155
"Arizona","Colorado",0.237639433222792
"Arkansas","Colorado",0.148739765612458
"California","Colorado",0.166501015513591
"Connecticut","Colorado",0.168828011022856
"Delaware","Colorado",0.146037661828168
"Florida","Colorado",0.0870528297707387
"Georgia","Colorado",0.122740963855422
"Hawaii","Colorado",0.0329018338727077
"Idaho","Colorado",0.299723298284449
"Illinois","Colorado",0.202544031311155
"Indiana","Colorado",0.175838383838384
"Iowa","Colorado",0.199493670886076
"Kansas","Colorado",0.217355793772333
"Kentucky","Colorado",0.148749487494875
"Louisiana","Colorado",0.118442098528471
"Maine","Colorado",0.183343475615057
"Maryland","Colorado",0.160220994475138
"Massachusetts","Colorado",0.174517841542907
"Michigan","Colorado",0.213568787261339
"Minnesota","Colorado",0.239199332777314
"Mississippi","Colorado",0.1136785973984
"Missouri","Colorado",0.181301950456753
"Montana","Colorado",0.319521178637201
"Nebraska","Colorado",0.275276673471581
"Nevada","Colorado",0.229039714225678
"New Hampshire","Colorado",0.173976876491099
"New Jersey","Colorado",0.16519600752206
"New Mexico","Colorado",0.350902184235518
"New York","Colorado",0.175397292525015
"North Carolina","Colorado",0.137008247789711
"North Dakota","Colorado",0.186421025508889
"Ohio","Colorado",0.179011925042589
"Oklahoma","Colorado",0.214962121212121
"Oregon","Colorado",0.23084592376716
"Pennsylvania","Colorado",0.173191684700636
"Rhode Island","Colorado",0.150737522731865
"South Carolina","Colorado",0.118961625282167
"South Dakota","Colorado",0.247688564476886
"Tennessee","Colorado",0.150802835237957
"Texas","Colorado",0.165447986740762
"Utah","Colorado",0.365481676541584
"Vermont","Colorado",0.188021600392734
"Virginia","Colorado",0.153525891230809
"Washington","Colorado",0.236124895030155
"West Virginia","Colorado",0.153435968005504
"Wisconsin","Colorado",0.220412074748443
"Wyoming","Colorado",0.310044219835755
