"state1","state2","year","jaccard"
"Alaska","Alabama",2012,0.0421190701741602
"Arizona","Alabama",2012,0.0950066539373951
"Arkansas","Alabama",2012,0.438408896492729
"California","Alabama",2012,0.0865225238498656
"Colorado","Alabama",2012,0.119347952648942
"Connecticut","Alabama",2012,0.303427031189834
"Delaware","Alabama",2012,0.305696144290052
"Florida","Alabama",2012,0.362259970457903
"Georgia","Alabama",2012,0.535244437225922
"Hawaii","Alabama",2012,0.0536063845806354
"Idaho","Alabama",2012,0.0774408228087423
"Illinois","Alabama",2012,0.358697250404352
"Indiana","Alabama",2012,0.328374483994081
"Iowa","Alabama",2012,0.233261710356682
"Kansas","Alabama",2012,0.262402659900254
"Kentucky","Alabama",2012,0.417059984553334
"Louisiana","Alabama",2012,0.450219876868953
"Maine","Alabama",2012,0.210091605346148
"Maryland","Alabama",2012,0.410888583616514
"Massachusetts","Alabama",2012,0.29576551455807
"Michigan","Alabama",2012,0.275041163556531
"Minnesota","Alabama",2012,0.227169918009613
"Mississippi","Alabama",2012,0.499125632765762
"Missouri","Alabama",2012,0.394260193532379
"Montana","Alabama",2012,0.0745441957073621
"Nebraska","Alabama",2012,0.207105064247921
"Nevada","Alabama",2012,0.0611177525403467
"New Hampshire","Alabama",2012,0.221299696631008
"New Jersey","Alabama",2012,0.364062729004837
"New Mexico","Alabama",2012,0.0982799369747899
"New York","Alabama",2012,0.30405013345712
"North Carolina","Alabama",2012,0.483972602739726
"North Dakota","Alabama",2012,0.0818324558972938
"Ohio","Alabama",2012,0.362360709863805
"Oklahoma","Alabama",2012,0.344743869871328
"Oregon","Alabama",2012,0.0948306384987608
"Pennsylvania","Alabama",2012,0.340652116749934
"Rhode Island","Alabama",2012,0.234692970763352
"South Carolina","Alabama",2012,0.50120960774149
"South Dakota","Alabama",2012,0.11939643828406
"Tennessee","Alabama",2012,0.481973281828424
"Texas","Alabama",2012,0.316321953650635
"Utah","Alabama",2012,0.0805204192265992
"Vermont","Alabama",2012,0.238559476173154
"Virginia","Alabama",2012,0.433245980593526
"Washington","Alabama",2012,0.0960895819897989
"West Virginia","Alabama",2012,0.323162620552045
"Wisconsin","Alabama",2012,0.270337833011928
"Wyoming","Alabama",2012,0.0541270881100557
"Alabama","Alaska",2012,0.0421190701741602
"Arizona","Alaska",2012,0.0585358157147365
"Arkansas","Alaska",2012,0.0485905044510386
"California","Alaska",2012,0.102122381477398
"Colorado","Alaska",2012,0.12717370533155
"Connecticut","Alaska",2012,0.0927361469997129
"Delaware","Alaska",2012,0.0660609037328094
"Florida","Alaska",2012,0.0327329192546584
"Georgia","Alaska",2012,0.0498354489891866
"Hawaii","Alaska",2012,0.0238870792616721
